Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2022,7,IQ Primaria,BARAHONA,3,25.0,8
2022,7,IQ Primaria,HIGUEY,4,14.8,5
2022,7,IQ Primaria,LA VEGA,3,18.8,9
2022,7,IQ Primaria,MAO,14,58.1,39
2022,7,IQ Primaria,MONTE PLATA,1,3.2,1
2022,7,IQ Primaria,NAGUA,1,1.7,2
2022,7,IQ Primaria,SAN CRISTOBAL,2,1.7,4
2022,7,IQ Primaria,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,7,IQ Primaria,SAN JUAN DE LA MAGUANA,1,9.5,2
2022,7,IQ Primaria,SAN PEDRO DE MACORIS,3,9.2,4
2022,7,IQ Primaria,SANTIAGO,4,2.9,4
2022,7,IQ Primaria,SANTO DOMINGO,36,62.6,42
2022,7,IQ Primaria,Sin ubicación,64,261.0,107
2022,8,IQ Primaria,AZUA,1,4.1,3
2022,8,IQ Primaria,BARAHONA,2,43.9,12
2022,8,IQ Primaria,COTUI,1,0.5,1
2022,8,IQ Primaria,HIGUEY,2,2.2,2
2022,8,IQ Primaria,LA VEGA,1,0.7,2
2022,8,IQ Primaria,MAO,2,1.4,2
2022,8,IQ Primaria,NAGUA,2,1.8,2
2022,8,IQ Primaria,SANTIAGO,1,20.4,7
2022,8,IQ Primaria,SANTO DOMINGO,25,70.1,42
2022,8,IQ Primaria,Sin ubicación,27,254.7,71
2022,8,IQ Secundaria,AZUA,1,1.6,1
2022,8,IQ Secundaria,SANTIAGO,1,376.9,10
2022,8,IQ Secundaria,SANTO DOMINGO,1,12.3,4
2022,8,IQ Secundaria,Sin ubicación,1,1.6,1
2022,9,512,Sin ubicación,1,0.2,1
2022,9,IQ Primaria,AZUA,2,14.6,13
2022,9,IQ Primaria,BARAHONA,5,56.1,13
2022,9,IQ Primaria,LA VEGA,3,1.7,3
2022,9,IQ Primaria,MAO,6,2.5,6
2022,9,IQ Primaria,MONTE CRISTI,1,0.4,2
2022,9,IQ Primaria,MONTE PLATA,1,0.1,1
2022,9,IQ Primaria,NAGUA,2,2.1,2
2022,9,IQ Primaria,PUERTO PLATA,2,0.2,2
2022,9,IQ Primaria,SAN CRISTOBAL,3,0.9,3
2022,9,IQ Primaria,SAN JUAN DE LA MAGUANA,3,9.6,4
2022,9,IQ Primaria,SAN PEDRO DE MACORIS,2,3.4,2
2022,9,IQ Primaria,SANTIAGO,1,5.8,3
2022,9,IQ Primaria,SANTO DOMINGO,16,55.1,33
2022,9,IQ Primaria,Sin ubicación,32,435.9,78
2022,9,IQ Secundaria,AZUA,6,10.1,8
2022,9,IQ Secundaria,BAHORUCO,1,2.8,2
2022,9,IQ Secundaria,LA VEGA,3,23.7,9
2022,9,IQ Secundaria,MONTE PLATA,1,6.2,3
2022,9,IQ Secundaria,NAGUA,1,0.2,1
2022,9,IQ Secundaria,PUERTO PLATA,2,6.4,2
2022,9,IQ Secundaria,SAN FRANCISCO DE MACORIS,2,3.2,2
2022,9,IQ Secundaria,SAN JUAN DE LA MAGUANA,1,0.5,1
2022,9,IQ Secundaria,SAN PEDRO DE MACORIS,2,2.1,3
2022,9,IQ Secundaria,SANTIAGO,42,518.7,80
2022,9,IQ Secundaria,SANTO DOMINGO,52,256.6,95
2022,9,IQ Secundaria,Sin ubicación,46,158.6,74
2022,10,512,AZUA,302,1060.3,303
2022,10,512,BAHORUCO,23,103.4,23
2022,10,512,BARAHONA,198,233.6,198
2022,10,512,COTUI,46,410.2,47
2022,10,512,HIGUEY,232,1089.4,232
2022,10,512,LA VEGA,507,2008.6,507
2022,10,512,MAO,56,269.9,56
