Anio,Semestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,S1,IQP,Estudiante,6to grado,BAHORUCO,11,116.7,28
2022,S1,IQP,Estudiante,6to grado,COTUI,2,4.0,3
2022,S1,IQP,Estudiante,6to grado,HIGUEY,15,50.6,23
2022,S1,IQP,Estudiante,6to grado,LA VEGA,19,78.9,32
2022,S1,IQP,Estudiante,6to grado,MAO,6,7.5,6
2022,S1,IQP,Estudiante,6to grado,MONTE CRISTI,2,0.5,2
2022,S1,IQP,Estudiante,6to grado,NAGUA,7,149.5,43
2022,S1,IQP,Estudiante,6to grado,PUERTO PLATA,1,4.7,1
2022,S1,IQP,Estudiante,6to grado,SAN CRISTOBAL,2,2.2,2
2022,S1,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,2.3,4
2022,S1,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,4.2,2
2022,S1,IQP,Estudiante,6to grado,SANTIAGO,34,420.9,114
2022,S1,IQP,Estudiante,6to grado,SANTO DOMINGO,160,780.6,301
2022,S1,IQP,Estudiante,6to grado,Sin ubicación,184,1612.7,527
2022,S1,IQP,Estudiante,No especificado,Sin ubicación,1,0.1,1
2022,S1,IQP,Parent,No especificado,Sin ubicación,10,21.0,25
2022,S1,IQP,Sin rol,No especificado,Sin ubicación,2,886.9,106
2022,S2,IQ512,Admin,No especificado,Sin ubicación,3,18.9,9
2022,S2,IQ512,Editor,No especificado,Sin ubicación,1,651.7,38
2022,S2,IQ512,Estudiante,No especificado,AZUA,304,1136.2,320
2022,S2,IQ512,Estudiante,No especificado,BAHORUCO,24,132.5,29
2022,S2,IQ512,Estudiante,No especificado,BARAHONA,198,271.5,209
2022,S2,IQ512,Estudiante,No especificado,COTUI,47,454.3,58
2022,S2,IQ512,Estudiante,No especificado,HIGUEY,232,1109.4,239
2022,S2,IQ512,Estudiante,No especificado,LA VEGA,508,2113.0,535
2022,S2,IQ512,Estudiante,No especificado,MAO,56,275.9,58
2022,S2,IQ512,Estudiante,No especificado,MONTE CRISTI,59,322.0,68
2022,S2,IQ512,Estudiante,No especificado,MONTE PLATA,21,30.5,24
2022,S2,IQ512,Estudiante,No especificado,NAGUA,58,154.6,62
2022,S2,IQ512,Estudiante,No especificado,PUERTO PLATA,188,565.5,197
2022,S2,IQ512,Estudiante,No especificado,SAN CRISTOBAL,257,591.4,282
2022,S2,IQ512,Estudiante,No especificado,SAN FRANCISCO DE MACORIS,160,307.4,173
2022,S2,IQ512,Estudiante,No especificado,SAN JUAN DE LA MAGUANA,111,247.1,118
2022,S2,IQ512,Estudiante,No especificado,SAN PEDRO DE MACORIS,364,1361.2,379
2022,S2,IQ512,Estudiante,No especificado,SANTIAGO,489,1338.6,501
2022,S2,IQ512,Estudiante,No especificado,SANTO DOMINGO,3172,13255.2,3315
2022,S2,IQ512,Estudiante,No especificado,Sin ubicación,13183,40758.8,13240
2022,S2,IQ512,Sin rol,No especificado,Sin ubicación,1,0.8,1
2022,S2,IQP,Admin,No especificado,Sin ubicación,1,114.4,32
2022,S2,IQP,Docente,3er grado,BARAHONA,1,26.4,1
2022,S2,IQP,Docente,3er grado,MAO,1,1.2,1
2022,S2,IQP,Docente,3er grado,SAN PEDRO DE MACORIS,1,3.5,1
2022,S2,IQP,Docente,3er grado,Sin ubicación,4,30.1,6
2022,S2,IQP,Docente,4to grado,BARAHONA,1,29.4,8
2022,S2,IQP,Docente,4to grado,LA VEGA,1,1.0,1
2022,S2,IQP,Docente,4to grado,SAN PEDRO DE MACORIS,1,24.6,4
2022,S2,IQP,Docente,4to grado,SANTIAGO,1,18.3,1
2022,S2,IQP,Docente,4to grado,SANTO DOMINGO,5,22.9,5
2022,S2,IQP,Docente,4to grado,Sin ubicación,12,42.0,17
2022,S2,IQP,Docente,6to grado,AZUA,1,5.4,2
2022,S2,IQP,Docente,6to grado,BARAHONA,3,149.8,34
2022,S2,IQP,Docente,6to grado,COTUI,1,0.5,1
2022,S2,IQP,Docente,6to grado,HIGUEY,2,10.8,3
2022,S2,IQP,Docente,6to grado,LA VEGA,4,2.6,4
