Anio,Mes,Programa,usuarios_activos,horas_totales,registros
2025,3,IQP,337,275.5,428
2025,3,IQS,4408,6033.8,9260
2025,4,IQ512,306,182.7,439
2025,4,IQP,451,393.4,609
2025,4,IQS,7625,9772.3,14552
2025,5,IQ512,215,191.8,322
2025,5,IQP,496,599.4,733
2025,5,IQS,22939,33323.7,51023
2025,6,IQ512,133,117.2,194
2025,6,IQP,120,93.9,147
2025,6,IQS,25674,41937.9,71696
2025,7,IQ512,87,96.4,119
2025,7,IQP,40,71.9,84
2025,7,IQS,1022,1143.4,2181
2025,8,IQ512,63,52.6,72
2025,8,IQP,84,136.6,147
2025,8,IQS,1150,999.4,2030
2025,9,IQ512,58,58.7,77
2025,9,IQP,57,107.0,127
2025,9,IQS,1390,1056.5,2270
2025,10,IQ512,54,53.3,71
2025,10,IQP,59,77.2,108
2025,10,IQS,1123,1065.0,2000
2025,11,IQ512,60,43.7,77
2025,11,IQP,61,90.3,113
2025,11,IQS,927,600.2,1428
2025,12,IQ512,28,15.3,34
2025,12,IQP,23,30.0,42
2025,12,IQS,595,432.3,851
2026,1,IQ512,32,24.3,47
2026,1,IQP,68,82.3,116
2026,1,IQS,1849,1296.4,2972
2026,2,IQ512,25,16.3,29
2026,2,IQP,54,81.3,101
2026,2,IQS,3427,4783.2,7054
2026,3,IQ512,47,37.7,60
2026,3,IQP,53,71.8,96
2026,3,IQS,3818,3960.9,7250
2026,4,IQ512,72,72.7,109
2026,4,IQP,74,60.8,107
2026,4,IQS,7713,8095.1,15070
2026,5,IQ512,574,1957.3,2163
2026,5,IQP,145,131.1,208
2026,5,IQS,27881,31104.2,53258
2026,6,IQ512,317,956.0,874
2026,6,IQP,113,132.0,164
2026,6,IQS,33093,43545.0,70232
2026,7,IQ512,31,20.3,36
2026,7,IQP,16,7.7,38
2026,7,IQS,762,391.2,1557
2026,8,IQ512,30,18.7,39
2026,8,IQP,35,13.2,66
2026,8,IQS,780,415.9,1451
2026,9,IQ512,45,37.0,54
2026,9,IQP,29,14.3,66
2026,9,IQS,813,349.5,1361
