Anio,Mes,Alliance,app,usuarios_activos,horas_totales,registros
2025,2,IQ Secundaria,lms,2725,2323.8,4272
2025,3,512,lms,403,310.9,655
2025,3,IQ Primaria,lms,337,275.5,428
2025,3,IQ Secundaria,app,1035,1095.0,1718
2025,3,IQ Secundaria,lms,4408,4938.7,7542
2025,4,512,lms,306,182.7,439
2025,4,IQ Primaria,lms,451,393.4,609
2025,4,IQ Secundaria,app,1362,1384.8,2129
2025,4,IQ Secundaria,lms,7625,8387.6,12423
2025,5,512,lms,215,191.8,322
2025,5,IQ Primaria,lms,496,599.4,733
2025,5,IQ Secundaria,app,5839,6053.8,9359
2025,5,IQ Secundaria,lms,22938,27269.9,41664
2025,6,512,lms,133,117.2,194
2025,6,IQ Primaria,lms,120,93.9,147
2025,6,IQ Secundaria,app,9078,12346.4,17915
2025,6,IQ Secundaria,lms,25664,29591.5,53781
2025,7,512,lms,87,96.4,119
2025,7,IQ Primaria,lms,40,71.9,84
2025,7,IQ Secundaria,app,403,330.1,581
2025,7,IQ Secundaria,lms,1022,813.3,1600
2025,8,512,lms,63,52.6,72
2025,8,IQ Primaria,lms,84,136.6,147
2025,8,IQ Secundaria,app,355,324.2,479
2025,8,IQ Secundaria,lms,1150,675.2,1551
2025,9,512,lms,58,58.7,77
2025,9,IQ Primaria,lms,57,107.0,127
2025,9,IQ Secundaria,app,292,232.0,409
2025,9,IQ Secundaria,lms,1390,824.5,1861
2025,10,512,lms,54,53.3,71
2025,10,IQ Primaria,lms,59,77.2,108
2025,10,IQ Secundaria,app,141,114.7,230
2025,10,IQ Secundaria,lms,1123,950.4,1770
2025,11,512,lms,60,43.7,77
2025,11,IQ Primaria,lms,61,90.3,113
2025,11,IQ Secundaria,app,97,74.5,132
2025,11,IQ Secundaria,lms,927,525.7,1296
2025,12,512,lms,28,15.3,34
2025,12,IQ Primaria,lms,23,30.0,42
2025,12,IQ Secundaria,app,60,32.7,73
2025,12,IQ Secundaria,lms,595,399.6,778
2026,1,512,lms,32,24.3,47
2026,1,IQ Primaria,lms,68,82.3,116
2026,1,IQ Secundaria,app,311,226.5,415
2026,1,IQ Secundaria,lms,1849,1070.0,2557
2026,2,512,lms,25,16.3,29
2026,2,IQ Primaria,lms,54,81.3,101
2026,2,IQ Secundaria,app,568,839.1,1056
2026,2,IQ Secundaria,lms,3427,3944.0,5998
2026,3,512,lms,47,37.7,60
2026,3,IQ Primaria,lms,53,71.8,96
2026,3,IQ Secundaria,app,722,688.5,1150
2026,3,IQ Secundaria,lms,3818,3272.4,6100
2026,4,512,lms,72,72.7,109
2026,4,IQ Primaria,lms,74,60.8,107
2026,4,IQ Secundaria,app,2279,2040.6,3391
2026,4,IQ Secundaria,lms,7712,6054.5,11679
2026,5,512,lms,574,1957.3,2163
2026,5,IQ Primaria,lms,145,131.1,208
2026,5,IQ Secundaria,app,5870,6254.7,9530
2026,5,IQ Secundaria,lms,27876,24849.5,43728
2026,6,512,lms,317,956.0,874
2026,6,IQ Primaria,lms,113,132.0,164
2026,6,IQ Secundaria,app,7851,9246.6,13987
2026,6,IQ Secundaria,lms,33090,34298.4,56245
2026,7,512,lms,31,20.3,36
2026,7,IQ Primaria,lms,16,7.7,38
2026,7,IQ Secundaria,app,234,36.4,331
2026,7,IQ Secundaria,lms,762,354.8,1226
2026,8,512,lms,30,18.7,39
2026,8,IQ Primaria,lms,35,13.2,66
2026,8,IQ Secundaria,app,195,35.7,281
2026,8,IQ Secundaria,lms,778,380.2,1170
2026,9,512,lms,45,37.0,54
2026,9,IQ Primaria,lms,29,14.3,66
2026,9,IQ Secundaria,app,138,23.3,206
2026,9,IQ Secundaria,lms,813,326.3,1155
