Anio,Trimestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,Q1,IQP,Estudiante,6to grado,SANTIAGO,14,208.9,39
2022,Q1,IQP,Estudiante,6to grado,SANTO DOMINGO,19,31.3,26
2022,Q1,IQP,Estudiante,6to grado,Sin ubicación,21,282.8,74
2022,Q1,IQP,Estudiante,No especificado,Sin ubicación,1,0.1,1
2022,Q1,IQP,Parent,No especificado,Sin ubicación,6,7.7,16
2022,Q1,IQP,Sin rol,No especificado,Sin ubicación,2,252.3,48
2022,Q2,IQP,Admin,No especificado,Sin ubicación,1,0.1,5
2022,Q2,IQP,Docente,6to grado,AZUA,2,0.4,2
2022,Q2,IQP,Docente,6to grado,BAHORUCO,1,10.2,3
2022,Q2,IQP,Docente,6to grado,BARAHONA,3,149.5,24
2022,Q2,IQP,Docente,6to grado,COTUI,6,27.3,11
2022,Q2,IQP,Docente,6to grado,HIGUEY,2,16.4,5
2022,Q2,IQP,Docente,6to grado,LA VEGA,9,64.1,14
2022,Q2,IQP,Docente,6to grado,MAO,7,103.7,28
2022,Q2,IQP,Docente,6to grado,MONTE CRISTI,4,28.8,10
2022,Q2,IQP,Docente,6to grado,NAGUA,1,5.6,2
2022,Q2,IQP,Docente,6to grado,PUERTO PLATA,3,11.0,7
2022,Q2,IQP,Docente,6to grado,SAN CRISTOBAL,2,23.3,6
2022,Q2,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,10.8,2
2022,Q2,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,16.7,5
2022,Q2,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,3,1.3,3
2022,Q2,IQP,Docente,6to grado,SANTIAGO,16,172.3,30
2022,Q2,IQP,Docente,6to grado,SANTO DOMINGO,46,265.1,87
2022,Q2,IQP,Docente,6to grado,Sin ubicación,106,888.3,209
2022,Q2,IQP,Estudiante,1er grado,BARAHONA,1,14.9,8
2022,Q2,IQP,Estudiante,1er grado,COTUI,2,15.5,9
2022,Q2,IQP,Estudiante,1er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,Q2,IQP,Estudiante,1er grado,SANTIAGO,1,0.1,1
2022,Q2,IQP,Estudiante,1er grado,SANTO DOMINGO,7,70.5,26
2022,Q2,IQP,Estudiante,1er grado,Sin ubicación,10,10.4,14
2022,Q2,IQP,Estudiante,2do grado,AZUA,1,24.3,9
2022,Q2,IQP,Estudiante,2do grado,COTUI,2,4.4,3
2022,Q2,IQP,Estudiante,2do grado,NAGUA,3,15.7,4
2022,Q2,IQP,Estudiante,2do grado,SAN PEDRO DE MACORIS,1,0.5,1
2022,Q2,IQP,Estudiante,2do grado,SANTIAGO,1,0.4,1
2022,Q2,IQP,Estudiante,2do grado,SANTO DOMINGO,5,13.3,7
2022,Q2,IQP,Estudiante,2do grado,Sin ubicación,3,51.6,16
2022,Q2,IQP,Estudiante,3er grado,BAHORUCO,1,8.5,2
2022,Q2,IQP,Estudiante,3er grado,COTUI,4,43.3,16
2022,Q2,IQP,Estudiante,3er grado,LA VEGA,6,30.5,16
2022,Q2,IQP,Estudiante,3er grado,MAO,9,50.5,12
2022,Q2,IQP,Estudiante,3er grado,NAGUA,3,0.7,3
2022,Q2,IQP,Estudiante,3er grado,PUERTO PLATA,1,9.1,1
2022,Q2,IQP,Estudiante,3er grado,SANTIAGO,17,89.9,29
2022,Q2,IQP,Estudiante,3er grado,SANTO DOMINGO,70,826.2,261
2022,Q2,IQP,Estudiante,3er grado,Sin ubicación,61,732.3,221
2022,Q2,IQP,Estudiante,4to grado,SANTO DOMINGO,7,45.8,38
2022,Q2,IQP,Estudiante,4to grado,Sin ubicación,6,141.8,36
2022,Q2,IQP,Estudiante,5to grado,AZUA,1,37.0,9
2022,Q2,IQP,Estudiante,5to grado,BARAHONA,1,13.5,9
2022,Q2,IQP,Estudiante,5to grado,LA VEGA,1,7.4,1
2022,Q2,IQP,Estudiante,5to grado,NAGUA,2,1.2,2
2022,Q2,IQP,Estudiante,5to grado,SAN FRANCISCO DE MACORIS,1,1.9,1
2022,Q2,IQP,Estudiante,5to grado,SANTO DOMINGO,3,12.4,5
2022,Q2,IQP,Estudiante,5to grado,Sin ubicación,4,10.1,7
2022,Q2,IQP,Estudiante,6to grado,AZUA,1,0.3,1
2022,Q2,IQP,Estudiante,6to grado,BAHORUCO,11,14.1,18
2022,Q2,IQP,Estudiante,6to grado,COTUI,2,4.0,3
2022,Q2,IQP,Estudiante,6to grado,HIGUEY,15,44.8,21
2022,Q2,IQP,Estudiante,6to grado,LA VEGA,10,53.1,19
2022,Q2,IQP,Estudiante,6to grado,MAO,6,7.5,6
2022,Q2,IQP,Estudiante,6to grado,NAGUA,7,149.5,43
2022,Q2,IQP,Estudiante,6to grado,PUERTO PLATA,1,4.7,1
2022,Q2,IQP,Estudiante,6to grado,SAN CRISTOBAL,2,2.2,2
2022,Q2,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,2.3,4
2022,Q2,IQP,Estudiante,6to grado,SANTIAGO,28,212.1,75
