Anio,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,IQP,Estudiante,2do grado,SAN JUAN DE LA MAGUANA,1,2.7,4
2022,IQP,Estudiante,2do grado,SAN PEDRO DE MACORIS,1,0.5,1
2022,IQP,Estudiante,2do grado,SANTIAGO,1,0.4,1
2022,IQP,Estudiante,2do grado,SANTO DOMINGO,9,27.3,15
2022,IQP,Estudiante,2do grado,Sin ubicación,14,232.9,71
2022,IQP,Estudiante,3er grado,BAHORUCO,2,9.7,3
2022,IQP,Estudiante,3er grado,COTUI,4,43.3,16
2022,IQP,Estudiante,3er grado,LA VEGA,6,30.5,16
2022,IQP,Estudiante,3er grado,MAO,10,50.7,13
2022,IQP,Estudiante,3er grado,NAGUA,3,0.7,3
2022,IQP,Estudiante,3er grado,PUERTO PLATA,1,9.1,1
2022,IQP,Estudiante,3er grado,SAN CRISTOBAL,1,6.6,5
2022,IQP,Estudiante,3er grado,SANTIAGO,18,100.0,32
2022,IQP,Estudiante,3er grado,SANTO DOMINGO,82,857.9,296
2022,IQP,Estudiante,3er grado,Sin ubicación,78,917.0,291
2022,IQP,Estudiante,4to grado,MAO,1,1.8,1
2022,IQP,Estudiante,4to grado,PUERTO PLATA,1,1.6,6
2022,IQP,Estudiante,4to grado,SANTO DOMINGO,18,127.7,87
2022,IQP,Estudiante,4to grado,Sin ubicación,19,318.5,88
2022,IQP,Estudiante,5to grado,AZUA,1,90.2,27
2022,IQP,Estudiante,5to grado,BAHORUCO,1,2.1,8
2022,IQP,Estudiante,5to grado,BARAHONA,1,48.3,34
2022,IQP,Estudiante,5to grado,LA VEGA,2,26.4,10
2022,IQP,Estudiante,5to grado,MAO,1,1.5,1
2022,IQP,Estudiante,5to grado,NAGUA,2,1.2,2
2022,IQP,Estudiante,5to grado,SAN FRANCISCO DE MACORIS,1,1.9,1
2022,IQP,Estudiante,5to grado,SANTIAGO,1,0.5,1
2022,IQP,Estudiante,5to grado,SANTO DOMINGO,15,40.6,27
2022,IQP,Estudiante,5to grado,Sin ubicación,18,85.7,36
2022,IQP,Estudiante,6to grado,AZUA,2,2.3,3
2022,IQP,Estudiante,6to grado,BAHORUCO,13,117.3,30
2022,IQP,Estudiante,6to grado,BARAHONA,2,23.2,6
2022,IQP,Estudiante,6to grado,COTUI,2,4.0,3
2022,IQP,Estudiante,6to grado,HIGUEY,20,54.1,28
2022,IQP,Estudiante,6to grado,LA VEGA,20,79.4,34
2022,IQP,Estudiante,6to grado,MAO,7,22.5,23
2022,IQP,Estudiante,6to grado,MONTE CRISTI,2,0.5,2
2022,IQP,Estudiante,6to grado,MONTE PLATA,2,3.3,2
2022,IQP,Estudiante,6to grado,NAGUA,10,213.9,67
2022,IQP,Estudiante,6to grado,PUERTO PLATA,2,4.7,2
2022,IQP,Estudiante,6to grado,SAN CRISTOBAL,3,2.5,5
2022,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,2,2.3,5
2022,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,2,13.7,4
2022,IQP,Estudiante,6to grado,SAN PEDRO DE MACORIS,3,9.2,4
2022,IQP,Estudiante,6to grado,SANTIAGO,37,451.8,128
2022,IQP,Estudiante,6to grado,SANTO DOMINGO,190,897.3,363
2022,IQP,Estudiante,6to grado,Sin ubicación,238,1905.5,637
2022,IQP,Estudiante,No especificado,Sin ubicación,1,0.1,1
2022,IQP,Parent,1er grado,Sin ubicación,1,0.6,1
2022,IQP,Parent,No especificado,Sin ubicación,13,35.1,34
2022,IQP,Sin rol,No especificado,Sin ubicación,2,2353.2,211
2022,IQS,Admin,No especificado,Sin ubicación,1,77.2,23
2022,IQS,Docente,1er grado,AZUA,2,1.2,3
2022,IQS,Docente,1er grado,BAHORUCO,1,0.7,1
2022,IQS,Docente,1er grado,HIGUEY,1,0.3,1
2022,IQS,Docente,1er grado,MONTE CRISTI,1,0.9,1
2022,IQS,Docente,1er grado,NAGUA,1,7.3,2
2022,IQS,Docente,1er grado,PUERTO PLATA,1,0.1,1
2022,IQS,Docente,1er grado,SAN FRANCISCO DE MACORIS,1,7.3,2
2022,IQS,Docente,1er grado,SAN PEDRO DE MACORIS,2,11.6,2
2022,IQS,Docente,1er grado,SANTIAGO,5,26.9,8
2022,IQS,Docente,1er grado,SANTO DOMINGO,12,26.2,19
2022,IQS,Docente,1er grado,Sin ubicación,17,103.9,34
2022,IQS,Docente,3er grado,Sin ubicación,1,0.5,1
2022,IQS,Docente,4to grado,AZUA,1,33.9,7
2022,IQS,Docente,6to grado,AZUA,2,4.4,3
2022,IQS,Docente,6to grado,BAHORUCO,1,7.5,2
2022,IQS,Docente,6to grado,COTUI,2,11.8,4
2022,IQS,Docente,6to grado,LA VEGA,1,0.3,1
2022,IQS,Docente,6to grado,MONTE CRISTI,2,0.8,2
2022,IQS,Docente,6to grado,MONTE PLATA,2,0.5,2
2022,IQS,Docente,6to grado,NAGUA,2,49.6,10
2022,IQS,Docente,6to grado,PUERTO PLATA,1,1.0,1
2022,IQS,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,17.2,5
2022,IQS,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,14.5,1
2022,IQS,Docente,6to grado,SAN PEDRO DE MACORIS,4,25.5,6
2022,IQS,Docente,6to grado,SANTIAGO,1,7.9,2
2022,IQS,Docente,6to grado,SANTO DOMINGO,33,553.2,95
2022,IQS,Docente,6to grado,Sin ubicación,10,154.4,32
2022,IQS,Editor,No especificado,SANTIAGO,1,1370.4,70
2022,IQS,Estudiante,1er grado,NAGUA,4,145.1,28
2022,IQS,Estudiante,1er grado,SANTIAGO,1,0.1,1
2022,IQS,Estudiante,1er grado,SANTO DOMINGO,14,152.9,45
2022,IQS,Estudiante,1er grado,Sin ubicación,20,157.5,43
2022,IQS,Estudiante,2do grado,BARAHONA,1,0.4,1
2022,IQS,Estudiante,2do grado,NAGUA,4,110.1,18
2022,IQS,Estudiante,2do grado,SAN FRANCISCO DE MACORIS,2,0.4,4
2022,IQS,Estudiante,2do grado,SANTO DOMINGO,19,137.4,51
2022,IQS,Estudiante,2do grado,Sin ubicación,13,130.4,23
2022,IQS,Estudiante,3er grado,BARAHONA,1,4.6,2
2022,IQS,Estudiante,3er grado,LA VEGA,3,8.5,5
2022,IQS,Estudiante,3er grado,MONTE PLATA,1,5.5,2
2022,IQS,Estudiante,3er grado,NAGUA,4,213.9,31
2022,IQS,Estudiante,3er grado,SAN PEDRO DE MACORIS,1,14.4,5
2022,IQS,Estudiante,3er grado,SANTIAGO,14,26.3,17
2022,IQS,Estudiante,3er grado,SANTO DOMINGO,22,67.8,38
2022,IQS,Estudiante,3er grado,Sin ubicación,15,150.3,33
2022,IQS,Estudiante,4to grado,BARAHONA,1,2.3,1
2022,IQS,Estudiante,4to grado,HIGUEY,1,6.6,1
2022,IQS,Estudiante,4to grado,LA VEGA,2,11.4,2
2022,IQS,Estudiante,4to grado,MAO,2,5.5,3
2022,IQS,Estudiante,4to grado,NAGUA,2,126.2,18
