Anio,Mes,Alliance,Grado,usuarios_activos,horas_totales,registros
2026,6,IQ Secundaria,5to grado,372,422.5,639
2026,6,IQ Secundaria,6to grado,29564,39303.1,63267
2026,6,IQ Secundaria,No especificado,312,302.6,593
2026,7,512,No especificado,31,20.3,36
2026,7,IQ Primaria,1er grado,1,4.3,18
2026,7,IQ Primaria,4to grado,1,0.1,1
2026,7,IQ Primaria,5to grado,7,0.5,7
2026,7,IQ Primaria,6to grado,6,1.8,7
2026,7,IQ Primaria,No especificado,1,1.0,5
2026,7,IQ Secundaria,1er grado,19,3.8,50
2026,7,IQ Secundaria,2do grado,45,36.1,148
2026,7,IQ Secundaria,3er grado,13,6.0,47
2026,7,IQ Secundaria,4to grado,51,41.0,94
2026,7,IQ Secundaria,5to grado,8,2.3,12
2026,7,IQ Secundaria,6to grado,620,299.5,1192
2026,7,IQ Secundaria,No especificado,6,2.6,14
2026,8,512,No especificado,30,18.7,39
2026,8,IQ Primaria,1er grado,5,6.1,26
2026,8,IQ Primaria,2do grado,2,0.2,2
2026,8,IQ Primaria,4to grado,2,0.7,3
2026,8,IQ Primaria,5to grado,14,1.2,14
2026,8,IQ Primaria,6to grado,10,1.0,10
2026,8,IQ Primaria,No especificado,2,4.1,11
2026,8,IQ Secundaria,1er grado,16,3.7,39
2026,8,IQ Secundaria,2do grado,22,5.0,45
2026,8,IQ Secundaria,3er grado,14,7.6,40
2026,8,IQ Secundaria,4to grado,89,50.6,157
2026,8,IQ Secundaria,5to grado,13,2.9,18
2026,8,IQ Secundaria,6to grado,616,339.5,1129
2026,8,IQ Secundaria,No especificado,10,6.6,23
2026,9,512,No especificado,45,37.0,54
2026,9,IQ Primaria,1er grado,2,6.0,16
2026,9,IQ Primaria,2do grado,1,0.0,2
2026,9,IQ Primaria,4to grado,5,1.2,6
2026,9,IQ Primaria,5to grado,15,3.6,27
2026,9,IQ Primaria,6to grado,4,1.5,8
2026,9,IQ Primaria,No especificado,2,2.0,7
2026,9,IQ Secundaria,1er grado,14,2.8,22
2026,9,IQ Secundaria,2do grado,77,17.2,89
2026,9,IQ Secundaria,3er grado,13,3.3,14
2026,9,IQ Secundaria,4to grado,62,10.2,88
2026,9,IQ Secundaria,5to grado,20,3.9,32
2026,9,IQ Secundaria,6to grado,621,301.5,1097
2026,9,IQ Secundaria,No especificado,6,10.7,19
