Anio,Mes,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,1,IQP,Estudiante,4to grado,SANTO DOMINGO,1,0.1,4
2022,1,IQP,Estudiante,5to grado,BAHORUCO,1,0.1,3
2022,1,IQP,Estudiante,5to grado,SANTO DOMINGO,3,0.2,5
2022,1,IQP,Estudiante,6to grado,SANTO DOMINGO,2,0.1,2
2022,1,IQP,Estudiante,6to grado,Sin ubicación,3,0.3,9
2022,1,IQP,Parent,No especificado,Sin ubicación,3,0.4,9
2022,1,IQP,Sin rol,No especificado,Sin ubicación,1,0.6,13
2022,2,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2022,2,IQP,Docente,6to grado,MAO,1,8.0,1
2022,2,IQP,Docente,6to grado,SAN CRISTOBAL,2,7.3,3
2022,2,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,0.2,1
2022,2,IQP,Docente,6to grado,SANTO DOMINGO,2,1.6,5
2022,2,IQP,Docente,6to grado,Sin ubicación,5,12.0,9
2022,2,IQP,Estudiante,1er grado,BAHORUCO,1,0.6,1
2022,2,IQP,Estudiante,1er grado,SANTO DOMINGO,5,49.6,16
2022,2,IQP,Estudiante,1er grado,Sin ubicación,2,4.0,4
2022,2,IQP,Estudiante,2do grado,LA VEGA,1,0.1,2
2022,2,IQP,Estudiante,2do grado,SANTO DOMINGO,2,0.9,2
2022,2,IQP,Estudiante,2do grado,Sin ubicación,1,25.8,6
2022,2,IQP,Estudiante,3er grado,BAHORUCO,1,1.2,1
2022,2,IQP,Estudiante,3er grado,SAN CRISTOBAL,1,5.2,4
2022,2,IQP,Estudiante,3er grado,SANTO DOMINGO,4,5.1,4
2022,2,IQP,Estudiante,3er grado,Sin ubicación,2,3.1,3
2022,2,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.0,2
2022,2,IQP,Estudiante,4to grado,SANTO DOMINGO,4,15.5,7
2022,2,IQP,Estudiante,5to grado,BAHORUCO,1,2.0,5
2022,2,IQP,Estudiante,5to grado,SANTO DOMINGO,3,1.2,3
2022,2,IQP,Estudiante,6to grado,BAHORUCO,1,64.6,7
2022,2,IQP,Estudiante,6to grado,SANTO DOMINGO,7,14.1,10
2022,2,IQP,Estudiante,6to grado,Sin ubicación,4,42.6,19
2022,2,IQP,Estudiante,No especificado,Sin ubicación,1,0.1,1
2022,2,IQP,Parent,No especificado,Sin ubicación,4,7.3,7
2022,2,IQP,Sin rol,No especificado,Sin ubicación,2,178.5,19
2022,3,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2022,3,IQP,Docente,6to grado,COTUI,1,0.1,1
2022,3,IQP,Docente,6to grado,HIGUEY,2,15.3,4
2022,3,IQP,Docente,6to grado,MAO,1,3.8,1
2022,3,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,1.4,1
2022,3,IQP,Docente,6to grado,SANTIAGO,6,80.6,14
2022,3,IQP,Docente,6to grado,SANTO DOMINGO,3,2.4,3
2022,3,IQP,Docente,6to grado,Sin ubicación,13,85.0,22
2022,3,IQP,Estudiante,1er grado,SANTO DOMINGO,4,26.7,11
2022,3,IQP,Estudiante,1er grado,Sin ubicación,2,1.5,3
2022,3,IQP,Estudiante,2do grado,SANTO DOMINGO,1,10.5,1
2022,3,IQP,Estudiante,2do grado,Sin ubicación,2,80.0,8
2022,3,IQP,Estudiante,3er grado,SANTIAGO,2,9.6,2
2022,3,IQP,Estudiante,3er grado,Sin ubicación,3,0.2,3
2022,3,IQP,Estudiante,4to grado,PUERTO PLATA,1,1.5,1
2022,3,IQP,Estudiante,4to grado,SANTO DOMINGO,3,8.4,7
2022,3,IQP,Estudiante,4to grado,Sin ubicación,2,2.0,4
2022,3,IQP,Estudiante,5to grado,BARAHONA,1,11.7,4
2022,3,IQP,Estudiante,5to grado,SANTO DOMINGO,1,1.1,1
2022,3,IQP,Estudiante,5to grado,Sin ubicación,1,2.6,1
2022,3,IQP,Estudiante,6to grado,BAHORUCO,1,38.0,3
2022,3,IQP,Estudiante,6to grado,HIGUEY,2,5.8,2
2022,3,IQP,Estudiante,6to grado,LA VEGA,9,25.8,13
2022,3,IQP,Estudiante,6to grado,MONTE CRISTI,2,0.5,2
2022,3,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,4.2,2
2022,3,IQP,Estudiante,6to grado,SANTIAGO,14,208.9,39
2022,3,IQP,Estudiante,6to grado,SANTO DOMINGO,11,17.2,14
2022,3,IQP,Estudiante,6to grado,Sin ubicación,20,239.8,46
2022,3,IQP,Sin rol,No especificado,Sin ubicación,1,73.2,16
2022,4,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2022,4,IQP,Docente,6to grado,BARAHONA,1,18.2,3
2022,4,IQP,Docente,6to grado,COTUI,3,25.3,6
2022,4,IQP,Docente,6to grado,HIGUEY,2,16.4,5
2022,4,IQP,Docente,6to grado,LA VEGA,4,13.0,5
2022,4,IQP,Docente,6to grado,MAO,3,49.5,11
2022,4,IQP,Docente,6to grado,MONTE CRISTI,2,12.5,4
2022,4,IQP,Docente,6to grado,PUERTO PLATA,1,9.5,3
2022,4,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,1,0.6,1
2022,4,IQP,Docente,6to grado,SANTIAGO,11,91.6,17
2022,4,IQP,Docente,6to grado,SANTO DOMINGO,17,79.1,27
2022,4,IQP,Docente,6to grado,Sin ubicación,48,367.3,78
2022,4,IQP,Estudiante,1er grado,BARAHONA,1,14.0,4
2022,4,IQP,Estudiante,1er grado,COTUI,1,10.8,4
2022,4,IQP,Estudiante,1er grado,SANTIAGO,1,0.1,1
2022,4,IQP,Estudiante,1er grado,SANTO DOMINGO,4,20.2,7
2022,4,IQP,Estudiante,1er grado,Sin ubicación,1,1.5,2
2022,4,IQP,Estudiante,2do grado,COTUI,2,4.4,3
2022,4,IQP,Estudiante,2do grado,Sin ubicación,1,11.0,2
2022,4,IQP,Estudiante,3er grado,COTUI,4,17.1,7
2022,4,IQP,Estudiante,3er grado,PUERTO PLATA,1,9.1,1
2022,4,IQP,Estudiante,3er grado,SANTIAGO,5,16.0,5
2022,4,IQP,Estudiante,3er grado,SANTO DOMINGO,6,34.3,10
2022,4,IQP,Estudiante,3er grado,Sin ubicación,7,61.5,13
2022,4,IQP,Estudiante,4to grado,SANTO DOMINGO,2,14.0,11
2022,4,IQP,Estudiante,4to grado,Sin ubicación,2,56.2,11
2022,4,IQP,Estudiante,5to grado,SANTO DOMINGO,1,0.5,1
2022,4,IQP,Estudiante,5to grado,Sin ubicación,1,1.8,2
2022,4,IQP,Estudiante,6to grado,BAHORUCO,3,2.8,3
2022,4,IQP,Estudiante,6to grado,HIGUEY,15,44.8,21
2022,4,IQP,Estudiante,6to grado,MAO,2,2.1,2
2022,4,IQP,Estudiante,6to grado,NAGUA,2,4.3,2
2022,4,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,1.7,2
2022,4,IQP,Estudiante,6to grado,SANTIAGO,16,139.6,42
2022,4,IQP,Estudiante,6to grado,SANTO DOMINGO,46,200.5,73
2022,4,IQP,Estudiante,6to grado,Sin ubicación,54,316.1,90
2022,4,IQP,Parent,No especificado,Sin ubicación,3,7.2,4
2022,4,IQP,Sin rol,No especificado,Sin ubicación,2,141.5,20
2022,5,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2022,5,IQP,Docente,6to grado,AZUA,2,0.4,2
2022,5,IQP,Docente,6to grado,BAHORUCO,1,10.2,3
2022,5,IQP,Docente,6to grado,BARAHONA,2,125.7,15
2022,5,IQP,Docente,6to grado,COTUI,2,2.0,3
2022,5,IQP,Docente,6to grado,LA VEGA,3,44.7,7
2022,5,IQP,Docente,6to grado,MAO,6,17.4,11
2022,5,IQP,Docente,6to grado,MONTE CRISTI,3,9.7,5
2022,5,IQP,Docente,6to grado,PUERTO PLATA,3,1.5,4
2022,5,IQP,Docente,6to grado,SAN CRISTOBAL,2,23.3,6
2022,5,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,16.7,5
2022,5,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,2,0.2,2
2022,5,IQP,Docente,6to grado,SANTIAGO,7,72.2,10
2022,5,IQP,Docente,6to grado,SANTO DOMINGO,28,176.7,49
2022,5,IQP,Docente,6to grado,Sin ubicación,53,418.6,94
2022,5,IQP,Estudiante,1er grado,BARAHONA,1,0.8,4
2022,5,IQP,Estudiante,1er grado,COTUI,2,4.7,5
2022,5,IQP,Estudiante,1er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,5,IQP,Estudiante,1er grado,SANTO DOMINGO,3,22.9,13
2022,5,IQP,Estudiante,1er grado,Sin ubicación,7,2.4,8
2022,5,IQP,Estudiante,2do grado,AZUA,1,23.6,8
2022,5,IQP,Estudiante,2do grado,NAGUA,2,10.7,3
2022,5,IQP,Estudiante,2do grado,SANTO DOMINGO,2,0.9,2
2022,5,IQP,Estudiante,2do grado,Sin ubicación,3,39.2,11
2022,5,IQP,Estudiante,3er grado,BAHORUCO,1,8.5,2
2022,5,IQP,Estudiante,3er grado,COTUI,1,26.2,9
2022,5,IQP,Estudiante,3er grado,LA VEGA,6,30.5,16
2022,5,IQP,Estudiante,3er grado,MAO,9,50.5,12
2022,5,IQP,Estudiante,3er grado,NAGUA,3,0.7,3
2022,5,IQP,Estudiante,3er grado,SANTIAGO,13,51.6,23
2022,5,IQP,Estudiante,3er grado,SANTO DOMINGO,63,518.9,179
2022,5,IQP,Estudiante,3er grado,Sin ubicación,53,472.2,153
2022,5,IQP,Estudiante,4to grado,SANTO DOMINGO,6,27.7,18
2022,5,IQP,Estudiante,4to grado,Sin ubicación,3,34.3,16
2022,5,IQP,Estudiante,5to grado,AZUA,1,16.5,6
2022,5,IQP,Estudiante,5to grado,BARAHONA,1,12.7,7
2022,5,IQP,Estudiante,5to grado,NAGUA,2,1.2,2
2022,5,IQP,Estudiante,5to grado,SAN FRANCISCO DE MACORIS,1,1.9,1
2022,5,IQP,Estudiante,5to grado,SANTO DOMINGO,1,3.8,2
2022,5,IQP,Estudiante,5to grado,Sin ubicación,2,8.2,4
2022,5,IQP,Estudiante,6to grado,BAHORUCO,8,11.3,15
2022,5,IQP,Estudiante,6to grado,COTUI,2,4.0,3
2022,5,IQP,Estudiante,6to grado,LA VEGA,10,51.4,18
2022,5,IQP,Estudiante,6to grado,MAO,4,5.4,4
2022,5,IQP,Estudiante,6to grado,NAGUA,7,110.3,31
